nagents,nitems,seed,min_bundles_strategy,utility_sum,min_proportional_utility,runtime
2,2,12131,brute_force,685,0.0,0.021788374986499548
2,2,12131,recursive,685,0.0,0.007992458005901426
2,2,12131,iterative,685,0.0,0.006593167025130242
2,2,234122,brute_force,1576,0.749,0.007482540997443721
2,2,234122,recursive,1576,0.749,0.008055958023760468
2,2,234122,iterative,1576,0.749,0.008023375004995614
2,2,389833,brute_force,658,0.0,0.0059642919804900885
2,2,389833,recursive,658,0.0,0.006553499988513067
2,2,389833,iterative,658,0.0,0.006690208014333621
2,3,12131,brute_force,1194,0.531,0.009002583014080301
2,3,12131,recursive,1194,0.531,0.008256625005742535
2,3,12131,iterative,1194,0.531,0.007065000012516975
2,3,234122,brute_force,1226,0.525,0.0074918330064974725
2,3,234122,recursive,1226,0.525,0.00825683301081881
2,3,234122,iterative,1226,0.525,0.007654791988898069
2,3,389833,brute_force,717,0.0,0.01762741699349135
2,3,389833,recursive,717,0.0,0.01826024998445064
2,3,389833,iterative,717,0.0,0.017522958980407566
2,4,12131,brute_force,1332,0.589,0.008425083011388779
2,4,12131,recursive,1332,0.589,0.007925874990178272
2,4,12131,iterative,1332,0.589,0.008381041989196092
2,4,234122,brute_force,1244,0.534,0.019309082999825478
2,4,234122,recursive,1244,0.534,0.020234833005815744
2,4,234122,iterative,1244,0.534,0.018490208021830767
2,4,389833,brute_force,1106,0.5274725274725275,0.021171333006350324
2,4,389833,recursive,1106,0.5274725274725275,0.019816167012322694
2,4,389833,iterative,1106,0.5274725274725275,0.019950459012761712
2,5,12131,brute_force,1208,0.531,0.007994707993930206
2,5,12131,recursive,1208,0.531,0.00891062497976236
2,5,12131,iterative,1208,0.531,0.007996667001862079
2,5,234122,brute_force,1132,0.54,0.02811204199679196
2,5,234122,recursive,1132,0.54,0.027698416990460828
2,5,234122,iterative,1132,0.54,0.028936415998032317
2,5,389833,brute_force,1170,0.5644355644355644,0.02867458399850875
2,5,389833,recursive,1170,0.5644355644355644,0.02959499999997206
2,5,389833,iterative,1170,0.5644355644355644,0.027426165994256735
2,6,12131,brute_force,1123,0.512,0.041659792012069374
2,6,12131,recursive,1123,0.512,0.03723245800938457
2,6,12131,iterative,1123,0.512,0.03535308298887685
2,6,234122,brute_force,1207,0.603,0.02254924998851493
2,6,234122,recursive,1207,0.603,0.027043750014854595
2,6,234122,iterative,1207,0.603,0.02248287497786805
2,6,389833,brute_force,1212,0.5865865865865866,0.016392333986004815
2,6,389833,recursive,1212,0.5865865865865866,0.016796042007626966
2,6,389833,iterative,1212,0.5865865865865866,0.01476091702352278
2,7,12131,brute_force,1179,0.5654345654345654,0.015518375003011897
2,7,12131,recursive,1179,0.5654345654345654,0.023218583984998986
2,7,12131,iterative,1179,0.5654345654345654,0.015318791993195191
2,7,234122,brute_force,1181,0.5834165834165834,0.024080125003820285
2,7,234122,recursive,1181,0.5834165834165834,0.026519166014622897
2,7,234122,iterative,1181,0.5834165834165834,0.02464279200648889
2,7,389833,brute_force,1123,0.555,0.04097025000373833
2,7,389833,recursive,1123,0.555,0.043225582980085164
2,7,389833,iterative,1123,0.555,0.04164420798770152
2,8,12131,brute_force,1130,0.5574425574425574,0.025219875009497628
2,8,12131,recursive,1130,0.5574425574425574,0.02890058301272802
2,8,12131,iterative,1130,0.5574425574425574,0.02472991601098329
2,8,234122,brute_force,1064,0.5289421157684631,0.12154945801012218
2,8,234122,recursive,1064,0.5289421157684631,0.1278202919929754
2,8,234122,iterative,1064,0.5289421157684631,0.13162329100305215
2,8,389833,brute_force,1153,0.5675675675675675,0.05221779097337276
2,8,389833,recursive,1153,0.5675675675675675,0.05441129198879935
2,8,389833,iterative,1153,0.5675675675675675,0.05205304198898375
2,9,12131,brute_force,1182,0.5614385614385614,0.14396420898265205
2,9,12131,recursive,1182,0.5614385614385614,0.11283304099924862
2,9,12131,iterative,1182,0.5614385614385614,0.11561900001834147
2,9,234122,brute_force,1187,0.583,0.02640412500477396
2,9,234122,recursive,1187,0.583,0.03739300000597723
2,9,234122,iterative,1187,0.583,0.026210584008367732
2,9,389833,brute_force,1108,0.5475475475475475,0.13846537499921396
2,9,389833,recursive,1108,0.5475475475475475,0.14568504199269228
2,9,389833,iterative,1108,0.5475475475475475,0.1365316659794189
2,10,12131,brute_force,1113,0.547,0.014768458990147337
2,10,12131,recursive,1113,0.547,0.030663415993331
2,10,12131,iterative,1113,0.547,0.012166332977358252
2,10,234122,brute_force,1136,0.5555555555555556,0.10851783299585804
2,10,234122,recursive,1136,0.5555555555555556,0.12482795800315216
2,10,234122,iterative,1136,0.5555555555555556,0.10538408299908042
2,10,389833,brute_force,1122,0.552,0.2980493340000976
2,10,389833,recursive,1122,0.552,0.2883829579805024
2,10,389833,iterative,1122,0.552,0.31393220799509436
2,11,12131,brute_force,1127,0.5594405594405595,0.06861066599958576
2,11,12131,recursive,1127,0.5594405594405595,0.12041245799628086
2,11,12131,iterative,1127,0.5594405594405595,0.07295937501476146
2,11,234122,brute_force,1133,0.5434565434565435,0.07853916700696573
2,11,234122,recursive,1133,0.5434565434565435,0.1090587500075344
2,11,234122,iterative,1133,0.5434565434565435,0.07168658298905939
2,11,389833,brute_force,1097,0.536,0.19893441599560902
2,11,389833,recursive,1097,0.536,0.22935708300792612
2,11,389833,iterative,1074,0.536,0.26376554198213853
2,12,12131,brute_force,1102,0.549,0.21629091602517292
2,12,12131,recursive,1102,0.549,0.2467493340082001
2,12,12131,iterative,1144,0.5524475524475524,0.1181159999978263
2,12,234122,brute_force,1130,0.5585585585585585,0.13544433398055844
2,12,234122,recursive,1130,0.5585585585585585,0.19429791701259091
2,12,234122,iterative,1133,0.5615615615615616,0.12077533299452625
2,12,389833,brute_force,1123,0.5548902195608783,0.05786633401294239
2,12,389833,recursive,1123,0.5548902195608783,0.12694929100689478
2,12,389833,iterative,1123,0.5548902195608783,0.10351874999469146
2,13,12131,brute_force,1110,0.55,0.24906250002095476
2,13,12131,recursive,1110,0.55,0.3940508329833392
2,13,12131,iterative,1110,0.55,0.13894212499144487
2,13,234122,brute_force,1097,0.545,0.12392504198942333
2,13,234122,recursive,1097,0.545,0.2630051250162069
2,13,234122,iterative,1097,0.545,0.21942216702154838
2,13,389833,brute_force,1102,0.5414585414585414,7.042008749995148
2,13,389833,recursive,1102,0.5414585414585414,6.7304578330076765
2,13,389833,iterative,1102,0.5414585414585414,6.52580374997342
2,14,12131,brute_force,1079,0.5365365365365365,0.3194709170202259
2,14,12131,recursive,1079,0.5365365365365365,0.539615416986635
2,14,12131,iterative,1079,0.5365365365365365,0.23743750000721775
2,14,234122,brute_force,1107,0.548,0.22572595899691805
2,14,234122,recursive,1107,0.548,0.4431779580190778
