nagents,nitems,seed,min_bundles_strategy,utility_sum,min_proportional_utility,runtime
19,19,12131,brute_force,1699,0.053,67.71343100001104
19,19,12131,recursive,1699,0.053,8.669523958000354
19,19,12131,iterative,1646,0.053,8.948761417006608
19,19,234122,recursive,1726,0.054,4.906878374982625
19,19,234122,iterative,1769,0.054,5.02851129201008
19,19,389833,recursive,1698,0.0,91.96364241698757
19,19,389833,iterative,1700,0.0,93.21130004199222
19,20,12131,recursive,1698,0.05511022044088176,22.270531374961138
19,20,12131,iterative,1631,0.05511022044088176,21.235270874982234
19,20,234122,recursive,1686,0.05888223552894212,4.869244042027276
19,20,234122,iterative,1714,0.06,4.904873999999836
19,21,12131,recursive,1602,0.05905905905905906,8.428511333011556
19,21,12131,iterative,1586,0.05905905905905906,8.070975749986246
19,21,234122,recursive,1686,0.069,4.031185667030513
19,21,234122,iterative,1689,0.06606606606606606,4.079516583005898
19,22,12131,recursive,1708,0.06906906906906907,6.935526415996719
19,22,12131,iterative,1699,0.06893106893106893,7.425637082953472
19,22,234122,recursive,1644,0.065,3.061084790970199
19,22,234122,iterative,1685,0.07085828343313373,3.098433167033363
19,23,12131,recursive,1660,0.06393606393606394,7.077669374994002
19,23,12131,iterative,1643,0.06393606393606394,8.740728665958159
19,23,234122,recursive,1587,0.06993006993006994,7.248523959016893
19,23,234122,iterative,1674,0.0658682634730539,8.392254874983337
19,24,12131,recursive,1646,0.06793206793206794,6.834283875010442
19,24,12131,iterative,1680,0.06813627254509018,9.561679625010584
19,24,234122,recursive,1647,0.059940059940059943,11.819877541973256
19,24,234122,iterative,1648,0.059940059940059943,13.317738124984317
19,25,12131,recursive,1599,0.06506506506506507,26.431237458018586
19,25,12131,iterative,1639,0.065,26.47405850002542
19,25,234122,recursive,1664,0.07178464606181456,8.350139583984856
19,25,234122,iterative,1658,0.07178464606181456,7.485668667010032
19,26,12131,recursive,1632,0.06187624750499002,43.008857916051056
19,26,12131,iterative,1654,0.061938061938061936,68.06533745897468
19,26,234122,recursive,1605,0.07207207207207207,6.315625624964014
19,27,12131,recursive,1609,0.06006006006006006,44.031856124987826
19,27,234122,recursive,1607,0.071,11.68557008303469
19,28,12131,recursive,1596,0.06927710843373494,26.613410749996547
19,28,234122,recursive,1586,0.06493506493506493,17.6791356249596
19,29,12131,recursive,1599,0.0707876370887338,14.935170790995471
19,29,234122,recursive,1568,0.07314629258517034,5.785757208999712
19,30,12131,recursive,1639,0.07292707292707293,9.11645716696512
19,30,234122,recursive,1618,0.07214428857715431,8.072369500005152
19,31,12131,recursive,1628,0.07477567298105683,15.65743704198394
19,31,234122,recursive,1610,0.07278165503489531,16.167582124995533
19,32,12131,recursive,1613,0.076,6.5834983750246465
19,32,234122,recursive,1646,0.07014028056112225,4.500450041028671
19,33,12131,recursive,1602,0.07385229540918163,8.74832166696433
19,33,234122,recursive,1598,0.077,17.193279375031125
19,34,12131,recursive,1592,0.075,17.590263375022914
19,34,234122,recursive,1606,0.07422266800401203,15.123300833976828
19,35,12131,recursive,1533,0.0712136409227683,17.053090874978807
19,35,234122,recursive,1597,0.074,13.31625145795988
19,36,12131,recursive,1607,0.07292707292707293,9.623269250034355
19,36,234122,recursive,1614,0.074,17.70283758296864
19,37,12131,recursive,1516,0.07192807192807193,22.983166332996916
19,37,234122,recursive,1593,0.07584830339321358,15.165020124986768
19,38,12131,recursive,1550,0.07107107107107107,18.61043245898327
19,38,234122,recursive,1591,0.072,27.543892042012885
19,39,12131,recursive,1578,0.06793206793206794,34.53859387495322
19,39,234122,recursive,1606,0.071,26.38691145804478
19,40,12131,recursive,1560,0.07492507492507493,26.17566954198992
19,40,234122,recursive,1571,0.07492507492507493,24.06119395798305
19,41,12131,recursive,1545,0.075,26.0047181249829
19,41,234122,recursive,1555,0.07507507507507508,40.1573825419764
19,42,12131,recursive,1574,0.07569721115537849,25.620913958991878
19,42,234122,recursive,1546,0.074,49.31186149996938
19,43,12131,recursive,1541,0.07407407407407407,52.97522791597294
19,43,234122,recursive,1549,0.07292707292707293,62.00332508399151
19,44,12131,recursive,1500,0.07377866400797607,75.61844158399617
