nagents,nitems,seed,algorithm,utility_sum,min_proportional_utility,runtime
3,3,165043187,maximally_proportional_allocation,1253,0.3943943943943944,0.009285874999477528
3,3,165043187,round_robin,1272,0.368,7.812499825377017e-05
3,3,217107415,maximally_proportional_allocation,1486,0.381,0.008849458987242542
3,3,217107415,round_robin,1486,0.381,7.870800618547946e-05
3,3,970775402,maximally_proportional_allocation,1057,0.0,0.007608917003381066
3,3,970775402,round_robin,1058,0.233,7.966600242070854e-05
3,3,2154093945,maximally_proportional_allocation,1001,0.0,0.008519208990037441
3,3,2154093945,round_robin,1129,0.128,8.037500083446503e-05
3,3,2600196075,maximally_proportional_allocation,1142,0.0,0.008186249993741512
3,3,2600196075,round_robin,1363,0.22122122122122123,7.950000872369856e-05
3,4,165043187,maximally_proportional_allocation,1234,0.344,0.009147167002083734
3,4,165043187,round_robin,1474,0.334,8.450000314041972e-05
3,4,217107415,maximally_proportional_allocation,1032,0.0,0.02348070799780544
3,4,217107415,round_robin,1019,0.23023023023023023,8.408300345763564e-05
3,4,970775402,maximally_proportional_allocation,1248,0.3883883883883884,0.012433625000994653
3,4,970775402,round_robin,1336,0.269,8.445901039522141e-05
3,4,2154093945,maximally_proportional_allocation,1239,0.364,0.02136104099918157
3,4,2154093945,round_robin,1373,0.305,8.591699588578194e-05
3,4,2600196075,maximally_proportional_allocation,1681,0.511,0.005611000000499189
3,4,2600196075,round_robin,1657,0.256,8.366700785700232e-05
3,5,165043187,maximally_proportional_allocation,1215,0.359,0.018621790994075127
3,5,165043187,round_robin,1274,0.224,9.354100620839745e-05
3,5,217107415,maximally_proportional_allocation,1272,0.363,0.013636042000143789
3,5,217107415,round_robin,1353,0.269,9.179201151710004e-05
3,5,970775402,maximally_proportional_allocation,1115,0.0,0.044467290994361974
3,5,970775402,round_robin,1277,0.302,9.92920104181394e-05
3,5,2154093945,maximally_proportional_allocation,1106,0.33633633633633636,0.02771329099778086
3,5,2154093945,round_robin,1162,0.296,9.766699804458767e-05
3,5,2600196075,maximally_proportional_allocation,1283,0.382,0.010046291004982777
3,5,2600196075,round_robin,1057,0.181,9.712501196190715e-05
3,6,165043187,maximally_proportional_allocation,1363,0.4164164164164164,0.014714958000695333
3,6,165043187,round_robin,1208,0.23652694610778444,0.00010374998964834958
3,6,217107415,maximally_proportional_allocation,1280,0.36,0.04799950000597164
3,6,217107415,round_robin,1432,0.433,0.00013654200301971287
3,6,970775402,maximally_proportional_allocation,1388,0.419,0.015167375007877126
3,6,970775402,round_robin,1380,0.386,0.00010754101094789803
3,6,2154093945,maximally_proportional_allocation,1483,0.45454545454545453,0.010621084002195857
3,6,2154093945,round_robin,1389,0.356,0.00010575000487733632
3,6,2600196075,maximally_proportional_allocation,1389,0.409,0.010331166995456442
3,6,2600196075,round_robin,1413,0.448,0.00010325000039301813
3,7,165043187,maximally_proportional_allocation,1226,0.3893893893893894,0.05314425000688061
3,7,165043187,round_robin,1335,0.4,0.0001205000007757917
3,7,217107415,maximally_proportional_allocation,1253,0.407,0.021339291997719556
3,7,217107415,round_robin,1345,0.352,0.00011224999616388232
3,7,970775402,maximally_proportional_allocation,1287,0.41,0.01994579100573901
3,7,970775402,round_robin,1318,0.3733733733733734,0.00011095899390056729
3,7,2154093945,maximally_proportional_allocation,1159,0.3706293706293706,0.032096915994770825
3,7,2154093945,round_robin,1182,0.25374625374625376,0.00011083298886660486
3,7,2600196075,maximally_proportional_allocation,1299,0.3916083916083916,0.011171999998623505
3,7,2600196075,round_robin,1611,0.4394394394394394,0.00011270800314377993
3,8,165043187,maximally_proportional_allocation,1304,0.3833833833833834,0.025865832998533733
3,8,165043187,round_robin,1348,0.421,0.0001155420031864196
3,8,217107415,maximally_proportional_allocation,1353,0.41,0.0110658330086153
3,8,217107415,round_robin,1325,0.34565434565434566,0.00011587499466259032
3,8,970775402,maximally_proportional_allocation,1270,0.4025974025974026,0.06128545799583662
3,8,970775402,round_robin,1349,0.332,0.00011833300231955945
3,8,2154093945,maximally_proportional_allocation,1301,0.4094094094094094,0.0160483329964336
3,8,2154093945,round_robin,1322,0.417,0.00011550000635907054
3,8,2600196075,maximally_proportional_allocation,1313,0.3856143856143856,0.02044362499145791
3,8,2600196075,round_robin,1399,0.3806193806193806,0.00011579100100789219
3,9,165043187,maximally_proportional_allocation,1291,0.412,0.02034208299301099
3,9,165043187,round_robin,1377,0.4175824175824176,0.00012387499737087637
3,9,217107415,maximally_proportional_allocation,1212,0.3876123876123876,0.022306583006866276
3,9,217107415,round_robin,1403,0.4565434565434565,0.0001309159997617826
3,9,970775402,maximally_proportional_allocation,1266,0.403,0.04009591600333806
3,9,970775402,round_robin,1347,0.343687374749499,0.00012679200153797865
3,9,2154093945,maximally_proportional_allocation,1303,0.41541541541541543,0.02797104199999012
3,9,2154093945,round_robin,1446,0.46046046046046046,0.00012658399646170437
3,9,2600196075,maximally_proportional_allocation,1210,0.3923923923923924,0.033023916999809444
3,9,2600196075,round_robin,1340,0.318,0.00012770798639394343
3,10,165043187,maximally_proportional_allocation,1202,0.39,0.026635624992195517
3,10,165043187,round_robin,1279,0.363,0.00013349999790079892
3,10,217107415,maximally_proportional_allocation,1113,0.36063936063936064,0.16140195800107904
3,10,217107415,round_robin,1317,0.41058941058941056,0.00014037499204277992
3,10,970775402,maximally_proportional_allocation,1260,0.408,0.03610816699801944
3,10,970775402,round_robin,1344,0.408,0.00014387498958967626
3,10,2154093945,maximally_proportional_allocation,1220,0.37512537612838515,0.03545820800354704
3,10,2154093945,round_robin,1381,0.4152457372116349,0.0001411660050507635
3,10,2600196075,maximally_proportional_allocation,1223,0.378,0.0733528330019908
3,10,2600196075,round_robin,1252,0.396,0.00014200000441633165
3,11,165043187,maximally_proportional_allocation,1163,0.372,0.06148400000529364
3,11,165043187,round_robin,1475,0.421,0.00016845899517647922
3,11,217107415,maximally_proportional_allocation,1226,0.396,0.09615404199576005
