nagents,nitems,seed,algorithm,utility_sum,min_proportional_utility,runtime
0.5,4,770483412,maximally_proportional_allocation,1223,0.501,0.01820962499914458
0.5,4,770483412,round_robin,1278,0.42,8.604100003140047e-05
0.5,4,1765327780,maximally_proportional_allocation,1069,0.5204795204795205,0.010682125001039822
0.5,4,1765327780,round_robin,1168,0.4115884115884116,7.804200140526518e-05
0.5,4,1810893857,maximally_proportional_allocation,1096,0.548,0.008000499998161104
0.5,4,1810893857,round_robin,1294,0.548,6.491600288427435e-05
0.5,4,3802346734,maximally_proportional_allocation,1234,0.554,0.009157625001535052
0.5,4,3802346734,round_robin,1234,0.554,6.837500041001476e-05
0.5,4,4143158466,maximally_proportional_allocation,1381,0.6373626373626373,0.005908082999667386
0.5,4,4143158466,round_robin,1487,0.6373626373626373,6.183300138218328e-05
0.5,5,770483412,maximally_proportional_allocation,1110,0.5454545454545454,0.007055292000586633
0.5,5,770483412,round_robin,1122,0.5574425574425574,6.766699880245142e-05
0.5,5,1765327780,maximally_proportional_allocation,1314,0.576,0.012094834000890842
0.5,5,1765327780,round_robin,1166,0.482,6.641599975409918e-05
0.5,5,1810893857,maximally_proportional_allocation,1102,0.516,0.01016337500186637
0.5,5,1810893857,round_robin,1241,0.526,7.5459000072442e-05
0.5,5,3802346734,maximally_proportional_allocation,1250,0.581,0.009648125000239816
0.5,5,3802346734,round_robin,1286,0.377,6.637499973294325e-05
0.5,5,4143158466,maximally_proportional_allocation,1051,0.5255255255255256,0.006333458000881365
0.5,5,4143158466,round_robin,1107,0.526,6.525000208057463e-05
0.5,6,770483412,maximally_proportional_allocation,1163,0.551,0.016426541998953326
0.5,6,770483412,round_robin,1193,0.584,7.829199967090972e-05
0.5,6,1765327780,maximally_proportional_allocation,1138,0.558,0.0070472910010721534
0.5,6,1765327780,round_robin,1309,0.628,6.99580014043022e-05
0.5,6,1810893857,maximally_proportional_allocation,1057,0.518,0.008931625001423527
0.5,6,1810893857,round_robin,1195,0.447,7.058399933157489e-05
0.5,6,3802346734,maximally_proportional_allocation,1126,0.5501002004008017,0.022885708000103477
0.5,6,3802346734,round_robin,1051,0.497,7.212499986053444e-05
0.5,6,4143158466,maximally_proportional_allocation,1287,0.639,0.009607250001863576
0.5,6,4143158466,round_robin,1353,0.6,7.162499969126657e-05
0.5,7,770483412,maximally_proportional_allocation,1258,0.6063936063936064,0.007496333000744926
0.5,7,770483412,round_robin,1243,0.5861723446893787,7.574999835924245e-05
0.5,7,1765327780,maximally_proportional_allocation,1152,0.567,0.01015095899856533
0.5,7,1765327780,round_robin,1229,0.512,7.658300091861747e-05
0.5,7,1810893857,maximally_proportional_allocation,1187,0.59,0.004717042000265792
0.5,7,1810893857,round_robin,1342,0.634,7.529199865530245e-05
0.5,7,3802346734,maximally_proportional_allocation,1115,0.5295295295295295,0.013328166998689994
0.5,7,3802346734,round_robin,1284,0.632,7.587500294903293e-05
0.5,7,4143158466,maximally_proportional_allocation,1221,0.565,0.013484957999025937
